UUID,Client Label
58dabde3-c165-429f-a2a8-679f61b1bfb0,Clients
14b63dd2-8f80-4a30-83d9-01664607c1e5,Clients/2PPL
a12866f1-d92e-4bd9-91ab-66bae82d80d0,Clients/AGGE
0a8b9b92-4b18-47f3-9982-5ff27570cfd2,Clients/APAD
29534acd-46e6-4843-8dbf-5c04323447c4,Clients/BLUE
482e1071-e08b-4256-bdeb-ffcdb0d76c0b,Clients/CART
674fc685-9f8b-4eb0-87d3-b4d27cadbb90,Clients/CTSW
5d6877a6-881a-4f7c-a57e-efc103e436d4,Clients/DBAT
8791930a-f083-49a1-9382-7ec563823418,Clients/GRAA
086884d0-f80f-4353-9add-1cbaa09ef89a,Clients/HAPS
0d5947fe-e80b-40eb-89e8-0e317fd583b2,Clients/HISF
af8c25b9-240d-4506-ba09-7e382ed2a70b,Clients/IHWL
3e9578fe-dad5-4e2a-b9bf-dbb832b3d4bd,Clients/JTMA
ebd6ef77-cd3c-41bc-a0c2-a41e0d36afe8,Clients/KARD
8e4df859-06af-4d30-b30c-a2611c358884,Clients/KIND
c460058e-4c8c-4a6e-a3cf-d8b296b7091d,Clients/NANN
0ea8793c-19a9-4cd8-92c3-62a3785c3d0d,Clients/NEPH
33c3e668-7916-4435-8677-15f96c1cd621,Clients/NERP
723fe83f-6500-4f25-98df-cb68125cdf0d,Clients/NOPM
f6196d96-23a2-4db1-9987-802fb263d287,Clients/PIEB
18603caf-de8b-4ce4-8b7e-2ef72704e3a8,Clients/POPP
a0cceba9-8485-479b-b8d2-1ca7c8454027,Clients/PVEA
73ee064e-fe69-4b5b-8478-1e4b1121dd37,Clients/ROCK
1e9d85de-45ed-4796-a9c9-e2167655d338,Clients/RUBS
2ef31132-1806-466e-aa27-0879be69d4a4,Clients/SCAD
3bf2a815-4c63-49ad-a734-92b9a71bd749,Clients/SOVI
ad7f05da-7596-41f3-9063-14377739da5d,Clients/STER
bbe99748-bf32-4fa1-b9d1-416c9b951b9b,Clients/SUMI
d06bdc5e-b0f7-4596-a073-b510d6ff81f0,Clients/SWCD
30e20886-ba7f-4151-8aab-28f645dd9c02,Clients/TFLU
b9f58ce1-3b7f-4d24-84fe-d5fd1a088232,Clients/UBSG
a7c5f253-206a-4ac6-b811-b37add1bc8d6,Clients/VALK
b44398af-f0a0-41ca-b387-964b8b4aad4e,Clients/VRTX
b5683b0a-4b90-4e08-987e-769841ffd712,Clients/WSAT
